company_name,website,emails,phones,address,city,country,niche,sources,confidence
Kapcsolat,https://www.eventstudio.hu/kapcsolat.html,office@eventstudio.hu,+36309718408,,,,esemény,ddg_search,0.9
Hello Agency,https://helloagency.hu/szolgaltatasaink/rendezvenyek,agency@helloagency.hu,+3613651788,,,,esemény,ddg_search,0.9
Budapestevent,https://budapestevent.hu,"hostess@budapestevent.hu, info@budapestevent.hu","+3619509960, +36302812566, +36309316397",,,,esemény,ddg_search,0.9
Elmenyhajo,https://elmenyhajo.hu,elmenyhajo@elmenyhajo.hu,+36706105107,,,,esemény,ddg_search,0.9
SZAKÉ Event Studio,https://szake-events.hu/kapcsolat,szakedesign@gmail.com,+36204984353,,,,esemény,ddg_search,0.9
Your Special Event in Budapest,https://www.eventinbudapest.com,info@budapestevent.com,+36306766337,,,,esemény,ddg_search,0.9
Smart Event Budapest,https://smarteventbudapest.com/kapcsolat,info@smarteventbudapest.com,+36306518491,,,,esemény,ddg_search,0.9
Meeting Budapest,https://meetingbudapest.hu,meeting@meetingbudapest.hu,"+36309500240, +3614601150",,,,esemény,ddg_search,0.9
www.eventushungary.com,https://www.eventushungary.com,eventus@eventushungary.com,+36705108778,,,,esemény,ddg_search,0.9
Main page,https://www.uni-corvinus.hu,press@uni-corvinus.hu,+3614825000,,,,esemény,ddg_search,0.9
Kapcsolat,https://www.conceptflow.hu/kapcsolat,hello@conceptflow.hu,+36207718604,,,,esemény,ddg_search,0.9
Céges rendezvényszervezés profi módon | Touché Event Kft.,https://toucheevent.hu,"ajanlat@touche.hu, kovacsjanos@gmail.com","+36303837939, +36204294124",,,,esemény,ddg_search,0.9
Eventique | Event Planning and Production Company,https://www.eventique.hu,info@eventique.hu,,,,,esemény,ddg_search,0.65
DÉMONOK KÖZÖTT – ÖRDÖGŰZÉS A VALÓ ÉLETBENBudapest,https://funcode.hu/hu/event/3553-demonok-kozott-ordoguzes-a-valo-eletben-budapest,support@funcode.hu,,,,,esemény,ddg_search,0.65
Aktuális híreink – 2026. március 15.,https://ttkhk.bme.hu/aktualis-hireink-2026-marcius-15,"info@ttkhk.hu, palyazat@ttkhk.hu, rendezveny@ttkhk.hu, pr@ttkhk.hu",,,,,esemény,ddg_search,0.65
Kapcsolat | IBUSZ rendezvények | IBUSZ,https://www.ibusz.hu/rendezvenyek/kapcsolat,,+3614852700,,,,esemény,ddg_search,0.55
NECC PARTY //BUDAPESTPARK // 04.24. -BudapestPark,https://www.budapestpark.hu/events/necc-party-budapest-park-04-24-20260424,,,,,,esemény,ddg_search,0.3
Free TemporaryEmail- EmailOnDeck.com,https://www.emailondeck.com,,,,,,esemény,ddg_search,0.3
"Sziget Fesztivál 2026: Fellépők, napijegyek és minden...",https://budappest.hu/sziget-fesztival-2026-fellepok-napijegyek-es-minden-amit-tudni-kell,,,,,,esemény,ddg_search,0.3
Mel,https://mel.hu/duplantis-mar-alig-varja-hogy-mindenki-hallja-a-budapesti-vilagdontore-irt-himnuszat-566264.html,,,,,,esemény,ddg_search,0.3
