company_name,website,emails,phones,address,city,country,niche,sources,confidence
RendezvényMesterek – Esküvő- és rendezvényszervezés,https://rendezvenymesterek.hu,"banhegyizsofi@gmail.com, onaurtlvmfbsv@tznvy.pbz, onaurtlvmfbyg.pz@tznvy.pbz, banhegyizsolt.cm@gmail.com","+36304561895, +36304192621","1149 Budapest, Nagy Lajos király útja 214.",,,esemény,ddg_search,1.0
LOCK BUDApest,https://lockbudapest.hu/kapcsolat,"info@lockbudapest.hu, events@lockbudapest.hu, vasb@ybpxohqncrfg.uh, riragf@ybpxohqncrfg.uh","+36703366866, +36304556362",,,,esemény,ddg_search,0.9
Nemzeti Rendezvényszervező Ügynökség: Főoldal,https://nruevent.hu/en,"info@nruevent.hu, vasb@aehrirag.uh",+3618962264,,,,esemény,ddg_search,0.9
Hello Agency,https://helloagency.hu/szolgaltatasaink/rendezvenyek,"agency@helloagency.hu, ntrapl@uryybntrapl.uh",+3613651788,,,,esemény,ddg_search,0.9
Gála – Élményteremtő eseményszervezés és ...,https://gala.hu,"hello@gala.hu, xrexbz@tznvy.pbz, uryyb@tnyn.uh, kerkom@gmail.com","+3612402777, +36309220270",,,,esemény,ddg_search,0.9
Budapest Event Rendezvényszervező Iroda,http://budapestevent.hu,"hostess@budapestevent.hu, ubfgrff@ohqncrfgrirag.uh, vasb@ohqncrfgrirag.uh, nwnk-ybnqre@2k.tvs, info@budapestevent.hu","+3619509960, +36302812566, +36309316397",,,,esemény,ddg_search,0.9
HUNOG,https://hunog.hu/en,"info@hunog.hu, info@goodevent.hu, ugyfelszolgalat@naih.hu, titkarsag@nic.hu, angelus.barbara@domain.hu, gyulai.kinga@goodevent.hu, vasb@uhabt.uh, orxrygrgb.grfghyrg@oxvx.uh, vasb@tbbqrirag.uh, htlsryfmbytnyng@anvu.uh, gvgxnefnt@avp.uh, natryhf.oneonen@qbznva.uh, tlhynv.xvatn@tbbqrirag.uh, bekelteto.testulet@bkik.hu, central@company.hu","+3612380115, +36704426061, +3614882131, +3613911400, +36309507815, +36303452041",,,,esemény,ddg_search,0.9
Rendezvényszervező ügynökség,https://www.hybridagency.hu/en,"hello@hybridagency.hu, uryyb@uloevqntrapl.uh",+36702229322,,,,esemény,ddg_search,0.9
Rendezvényszervezéss,https://luxuryevent.hu/en,"vasb@yhkhelrirag.uh, info@luxuryevent.hu",+36706000192,,,,esemény,ddg_search,0.9
Határoknélkül,http://www.hataroknelkul.hu,"vebqn@ungnebxaryxhy.uh, iroda@hataroknelkul.hu","+36703228812, +3614220555, +36703884953, +36703855681",,,,esemény,ddg_search,0.9
"Budapest events, What to do in Budapest",https://eventland.eu/budapest,"contact@eventland.eu, pbagnpg@riragynaq.rh","+421948351122, +3611042026, +3644005400, +3635004200, +3619902390, +3635007000, +3635007600, +3623032026, +3623022026, +3628012026, +3629122025",,,,esemény,ddg_search,0.9
Professzionális rendezvényszervező iroda,https://d-line.hu/rendezvenyszervezo-iroda,"info@d-line.hu, vasb@q-yvar.uh","+36309649975, +3619902025",,,,esemény,ddg_search,0.9
Cevent.hu | Kreatív rendezvényszervező ügynökség,https://cevent.hu/en,"vasb@prirag.uh, info@cevent.hu","+36302989885, +36305358203, +36303538203",,,,esemény,ddg_search,0.9
"Teljes körű, professzionális rendezvényszervezés Budapest",https://smarteventbudapest.com,"info@smarteventbudapest.com, vasb@fznegriragohqncrfg.pbz",+36306518491,,,,esemény,ddg_search,0.9
Meeting Budapest,https://meetingbudapest.hu/en,"meeting@meetingbudapest.hu, zrrgvat@zrrgvatohqncrfg.uh","+36309500240, +3614601150",,,,esemény,ddg_search,0.9
One click away from successful events | Reflow Event Agency,https://www.reflowevents.hu/en,"uryyb@ersybjriragf.uh, hello@reflowevents.hu",+36306565339,,,,esemény,ddg_search,0.9
Céges rendezvényszervezés profi módon | Touché Event Kft.,https://toucheevent.hu,"ajanlat@touche.hu, xbinpfwnabf@tznvy.pbz, nwnayng@gbhpur.uh, kovacsjanos@gmail.com","+36303837939, +36204294124",,,,esemény,ddg_search,0.9
Ru,https://ru.dltv.org,"info@dltv.org, stat@dltv.org, dev@dltv.org, vasb@qygi.bet, fgng@qygi.bet, qri@qygi.bet, cyhf@qygi.bet, plus@dltv.org",+79042511181,,,,esemény,ddg_search,0.9
Magyar Testnevelési és Sporttudományi Egyetem,https://english.tf.hu/egyetem/rendezvenyek/tf-napok-2026/fellepok,"vasb@gs.uh, info@tf.hu","+36202100010, +3614879200",,,,esemény,ddg_search,0.9
Shop,https://shop.rossmann.hu/termek/air-wick-active-fresh-tropusi-mango-es-maracuja-elektromos-utantolto-legfrissito-keszulekhe-2x-19-ml,"qcq-20@2k.jroc, pbafhzrepner_uh@erpxvgg.pbz, zcy_cbfgncbag@2k.jroc, fnzrqnl-40@2k.jroc, pregbc@1k.jroc, pregbc@2k.jroc, zrtovmungb-zhaxnnqb-2024-oj@1k.jroc, zrtovmungb-zhaxnnqb-2024-oj@2k.jroc, riobygwn_babss-2@1k.jroc, riobygwn_babss-2@2k.jroc, riobygwn_iriboneng-2@1k.jroc, riobygwn_iriboneng-2@2k.jroc, consumercare_hu@reckitt.com",+3615515610,,,,esemény,ddg_search,0.9
New York CaféBudapest,https://newyorkcafe.hu/en,"newyorkcafe.reservation@cafeandevent.eu, arjlbexpnsr.erfreingvba@pnsrnaqrirag.rh",,,,,esemény,ddg_search,0.65
RENDEZVÉNYSZERVEZÉS,https://rendezvenyszervezes.lap.hu,"internetsales@centralmediacsoport.hu, centralmediacsoport@centralmediacsoport.hu, pragenyzrqvnpfbcbeg@pragenyzrqvnpfbcbeg.uh, vasb@sralcbagzrqvn.uh, vagreargfnyrf@pragenyzrqvnpfbcbeg.uh, info@fenypontmedia.hu",,,,,esemény,ddg_search,0.65
Céges adatok,https://pedagoguskepzo.hu/ceges-adatok,,+36300935236,,,,esemény,ddg_search,0.55
bkk.hu/en,https://bkk.hu/en,,+3613255255,,,,esemény,ddg_search,0.55
Események Budapesten,https://esemeny.altalanos.info,,,,,,esemény,ddg_search,0.3
"Mai programok Budapesten: események, koncertek, kiállítások",https://bigcitylife.hu/mai-programok-budapesten,,,,,,esemény,ddg_search,0.3
Gdg,https://gdg.community.dev/events/details/google-gdg-budapest-presents-agentic-ai-hackthon,,,,,,esemény,ddg_search,0.3
Katalin LORINCZ,https://www.researchgate.net/profile/Katalin-Lorincz,,,,,,esemény,ddg_search,0.0
company_name,website,emails,phones,address,city,country,niche,sources,confidence
InterContinental Budapest,https://www.budapest.intercontinental.com,"corso.restaurant@ihg.com, icbudapest.spa@ihg.com, arz.restaurant@ihg.com, budapest@ihg.com, pbefb.erfgnhenag@vut.pbz, vpohqncrfg.fnyrf@vut.pbz, vpohqncrfg.fcn@vut.pbz, nem.erfgnhenag@vut.pbz, ohqncrfg@vut.pbz, icbudapest.sales@ihg.com","+3613276392, +3613276427, +3680018893, +3613276366, +3613276333, +3680080321",,,,esemény,ddg_search,0.9
Céges rendezvényszervezés profi módon | Touché Event Kft.,https://toucheevent.hu,"ajanlat@touche.hu, xbinpfwnabf@tznvy.pbz, nwnayng@gbhpur.uh, kovacsjanos@gmail.com","+36303837939, +36204294124",,,,esemény,ddg_search,0.9
Meeting Budapest,https://meetingbudapest.hu/kapcsolat,"meeting@meetingbudapest.hu, info@meetingbudapest.hu, szervezes@meetingbudapest.hu, tervezes@meetingbudapest.hu, zrrgvat@zrrgvatohqncrfg.uh, vasb@zrrgvatohqncrfg.uh, fmreirmrf@zrrgvatohqncrfg.uh, greirmrf@zrrgvatohqncrfg.uh","+36309500240, +3614601150",,,,esemény,ddg_search,0.9
Hello Agency,https://helloagency.hu/szolgaltatasaink/rendezvenyek,"agency@helloagency.hu, ntrapl@uryybntrapl.uh",+3613651788,,,,esemény,ddg_search,0.9
Budapestevent,https://budapestevent.hu,"hostess@budapestevent.hu, ubfgrff@ohqncrfgrirag.uh, vasb@ohqncrfgrirag.uh, nwnk-ybnqre@2k.tvs, info@budapestevent.hu","+3619509960, +36302812566, +36309316397",,,,esemény,ddg_search,0.9
MKKP,https://ketfarkukutya.mkkp.party/kapcsolat,"xrgsnexhxhgln@tznvy.pbz, zxxcrgvxnvovmbggfnt@tznvy.pbz, ryabxfrt@zxxc.uh, ketfarkukutya@gmail.com, mkkpetikaibizottsag@gmail.com, elnokseg@mkkp.hu",+36304629941,,,,esemény,ddg_search,0.9
"rendezvényszervező, Rendezvényszervezés budapest, Rendezvény",https://elmenyhajo.hu,"ryzralunwb@ryzralunwb.uh, elmenyhajo@elmenyhajo.hu",+36706105107,,,,esemény,ddg_search,0.9
Imprint,https://www.kempinski.com/en/hotel-corvinus-budapest/imprint,"rznvy@rknzcyr.pbz, ubgry.pbeivahf@xrzcvafxv.pbz, h003rubgry.pbeivahf@xrzcvafxv.pbz, erfreingvbaf.pbecbengr@xrzcvafxv.pbz, vasbezngvba.pbecbengr@xrzcvafxv.pbz, vasb.qrirybczrag@xrzcvafxv.pbz, ce.pbecbengr@xrzcvafxv.pbz, vasb.erfvqraprf@xrzcvafxv.pbz, pbagnpg@qvfpbirelyblnygl.pbz, email@example.com, hotel.corvinus@kempinski.com, u003ehotel.corvinus@kempinski.com, reservations.corporate@kempinski.com, information.corporate@kempinski.com, info.development@kempinski.com, pr.corporate@kempinski.com, info.residences@kempinski.com, contact@discoveryloyalty.com",+3614293777,,,,esemény,ddg_search,0.9
Programok,https://www.hbcc.eu/frontend/web/program,"rh-ot@uopp.rh, xnznen@uopp.rh, nzonffnqbe@obytneobebx.uh, eu-bg@hbcc.eu, kamara@hbcc.eu, ambassador@bolgarborok.hu","+3617001715, +3617151900, +3617001730, +3625062024, +3618301845, +3618452030, +359887788710, +36306559589, +3618012022, +3629092021, +3618452100, +3624062019",,,,esemény,ddg_search,0.9
"Rendezvényszervezés frissen, egyedi ötletekkel",https://www.conceptflow.hu/kapcsolat,"hello@conceptflow.hu, uryyb@pbaprcgsybj.uh",+36207718604,,,,esemény,ddg_search,0.9
Event Organizer Hungary Kft.,https://ulpia.me/event-organizer/224,"yrbaneq.ynpmxb@qragnyjbeyq.uh, vasb@qragnyjbeyq.uh, leonard.laczko@dentalworld.hu, info@dentalworld.hu",,,,,esemény,ddg_search,0.65
Youth Bridges Budapest,https://www.youthbridgesbudapest.org,"info@youthbridgesbudapest.org, vasb@lbhguoevqtrfohqncrfg.bet",,,,,esemény,ddg_search,0.65
RSVP Event Kft.,https://www.rsvp.hu,"event@rsvp.hu, rznvy@qbznva.pbz, rirag@efic.uh, email@domain.com",,,,,esemény,ddg_search,0.65
POV Budapest,https://www.povbudapest.com,"info@povbudapest.com, vasb@cbiohqncrfg.pbz",,,,,esemény,ddg_search,0.65
Kapcsolat | IBUSZ rendezvények | IBUSZ,https://www.ibusz.hu/rendezvenyek/kapcsolat,,+3614852700,,,,esemény,ddg_search,0.55
Boogie Show,https://eng.mrfirehand.com/concerts/boogie_show_-_budapest-908,,"+36709084105, +36205122961",,,,esemény,ddg_search,0.55
Események,https://tedxdebrecen.com/esemeny,,,,,,esemény,ddg_search,0.3
Private Events Budapest: Főoldal,https://rabbit.bar,,,,,,esemény,ddg_search,0.3
HUBA & The HOZENTROGERS,https://hozentrogers.com,,,,,,esemény,ddg_search,0.3
company_name,website,emails,phones,address,city,country,niche,sources,confidence
Gála – Élményteremtő eseményszervezés és ...,https://gala.hu,"hello@gala.hu, kerkom@gmail.com","+3612402777, +36309220270",,,,esemény,ddg_search,0.9
InterContinental Budapest,https://www.budapest.intercontinental.com,"corso.restaurant@ihg.com, icbudapest.spa@ihg.com, arz.restaurant@ihg.com, budapest@ihg.com, icbudapest.sales@ihg.com","+3613276392, +3613276427, +3680018893, +3613276366, +3613276333, +3680080321",,,,esemény,ddg_search,0.9
Event By Naomi,https://eventbynaomi.hu/elerhetoseg.html,eventbynaomi@gmail.com,+36305299428,,,,esemény,ddg_search,0.9
Cevent.hu | Kreatív rendezvényszervező ügynökség,https://cevent.hu/en,info@cevent.hu,"+36302989885, +36305358203, +36303538203",,,,esemény,ddg_search,0.9
HUNOG,https://hunog.hu/en,"info@hunog.hu, info@goodevent.hu, ugyfelszolgalat@naih.hu, titkarsag@nic.hu, angelus.barbara@domain.hu, gyulai.kinga@goodevent.hu, bekelteto.testulet@bkik.hu, central@company.hu","+3612380115, +36704426061, +3614882131, +3613911400, +36309507815, +36303452041",,,,esemény,ddg_search,0.9
Programok,https://www.hbcc.eu/frontend/web/program,"eu-bg@hbcc.eu, kamara@hbcc.eu, ambassador@bolgarborok.hu","+3617001715, +3617151900, +3617001730, +3625062024, +3618301845, +3618452030, +359887788710, +36306559589, +3618012022, +3629092021, +3618452100, +3624062019",,,,esemény,ddg_search,0.9
Budapest Event Rendezvényszervező Iroda,http://budapestevent.hu,"hostess@budapestevent.hu, info@budapestevent.hu","+3619509960, +36302812566, +36309316397",,,,esemény,ddg_search,0.9
"Teljes körű, professzionális rendezvényszervezés Budapest",https://smarteventbudapest.com,info@smarteventbudapest.com,+36306518491,,,,esemény,ddg_search,0.9
"Event planning in Hungary, Budapest | R&G Smart Event",https://rgsmartevent.com/en/event-planning,info@rgsmartevent.com,+36306518491,,,,esemény,ddg_search,0.9
Meeting Budapest,https://meetingbudapest.hu/en,meeting@meetingbudapest.hu,"+36309500240, +3614601150",,,,esemény,ddg_search,0.9
Rendezvényszervező ügynökség,https://www.hybridagency.hu/en,hello@hybridagency.hu,+36702229322,,,,esemény,ddg_search,0.9
MKKP,https://ketfarkukutya.mkkp.party/kapcsolat,"ketfarkukutya@gmail.com, mkkpetikaibizottsag@gmail.com, elnokseg@mkkp.hu",+36304629941,,,,esemény,ddg_search,0.9
Nemzeti Rendezvényszervező Ügynökség: Főoldal,https://nruevent.hu/en,info@nruevent.hu,+3618962264,,,,esemény,ddg_search,0.9
Professzionális rendezvényszervező iroda,https://d-line.hu/rendezvenyszervezo-iroda,info@d-line.hu,"+36309649975, +3619902025",,,,esemény,ddg_search,0.9
See TECH GENERATION & TECHLOVERS NETWORKING NIGHT,https://www.startupgrind.com/events/details/startup-grind-budapest-presents-tech-generation-techlovers-networking-night-powered-by-tech-in-the-city,balazs@startupgrind.com,+36709457175,,,,esemény,ddg_search,0.9
"Event Organizer Hungary Kft. céginfó, cégadatlap",https://webshop.opten.hu/event-organizer-hungary-kft-e10471298.html,webshop@opten.hu,,,,,esemény,ddg_search,0.65
