company_name,website,emails,phones,address,city,country,niche,sources,confidence
"Úgy néz ki, mégis lesz karácsonyi vásárBudapesten- Blikk",https://www.blikk.hu/politika/magyar-politika/karacsonyi-vasar-szervezo-megis-lesz-budapest-vorosmarty-ter-budapest-brand/dtczgpy,online@blikk.hu,+3614885700,"Városmajor utca 11., Budapest, Hungary",Budapest,Hungary,esemény szervező,ddg_search,1.0
Esküvő,https://www.tablazat.hu/rendezvenyszervezes/eskuvo.html,kocsi@tablazat.hu,+3614890303,"Nádorliget u. 8/C, 1117, Budapest, HU",Budapest,HU,esemény szervező,ddg_search,1.0
"CoworkingBudapest| ÖnkiszolgálóIroda0-24, Podcast...",https://eco-office.hu,info@eco-office.hu,+36501046116,"Izabella utca 68/b, 1064, Budapest, HU",Budapest,HU,esemény szervező,ddg_search,1.0
Economx,https://www.economx.hu/magyar-gazdasag/atletikai-vb-budapest-magyarorszag-allami-tamogatas.790749.html,f1a1bdee034389db2d31d33a13befec0@o4508887325474816.ingest.de.sentry.io,+3612077078,,,,esemény szervező,ddg_search,0.9
Rólunk -BudapestVarieté,https://www.budapestvariete.hu/rolunk,info@budapestvariete.hu,+36307340771,,,,esemény szervező,ddg_search,0.9
Szervezőkrészére,https://pilot-system.com/szervezoknek,office@pilot-system.com,"+36303709271, +36302076379, +36706034346",,,,esemény szervező,ddg_search,0.9
Reflow Events rendezvényszervező cég és ügynökség,https://www.reflowevents.hu,hello@reflowevents.hu,+36306565339,,,,esemény szervező,ddg_search,0.9
Következő események,https://www.europarl.europa.eu/thinktank/hu/events/upcoming-events,"epbudapest@europarl.europa.eu, epbrussels@europarl.europa.eu, epstrasbourg@europarl.europa.eu, epluxembourg@europarl.europa.eu","+3614113540, +3222841722, +33388174001, +352430022411, +3222842111, +35243001",,,,esemény szervező,ddg_search,0.9
Kezdőoldal,https://essentiaevent.hu,essentiaevent@essentiaevent.hu,+36303789561,,,,esemény szervező,ddg_search,0.9
Rendezvényszervező CV,https://cvminta.com/esemeny-szervezo-oneletrajz,contact@resumedone.io,"+447883304929, +3619830220, +36203525432, +3619830230, +3619730121",,,,esemény szervező,ddg_search,0.9
SZAKÉ Event Studio,https://szake-events.hu,szakedesign@gmail.com,+36204984353,,,,esemény szervező,ddg_search,0.9
Központi személyes ügyfélszolgálatiirodaBudapesten- Kezdőlap,https://vizmuvek.hu/hu/kezdolap/informaciok/hivatalos-kozerdeku/ugyfelszolgalati-elerhetosegek/budapesti_iroda,hibabejelentes@vizmuvek.hu,+36207342199,,,,esemény szervező,ddg_search,0.9
Kezdőlap |Budapestiiroda| Európai Parlament,https://budapest.europarl.europa.eu,epbudapest@europarl.europa.eu,+3614113540,,,,esemény szervező,ddg_search,0.9
KAPTÁR közösségiiroda- coworkingBudapest,https://kaptarbudapest.hu,hello@kaptarbudapest.hu,+36306843996,,,,esemény szervező,ddg_search,0.9
Kiadoingatlan,https://www.kiadoingatlan.com/kiado-iroda/budapest-xix-kerulet-kispest-ulloi/major-laszlo-viktoria-ingatlan/862_bli,"info@lakascentrum.hu, berbeado@gmail.com",+36303300101,,,,esemény szervező,ddg_search,0.9
Eladóiroda/üzlethelyiségBudapest| Ingatlanok.hu,https://ingatlanok.hu/elado/iroda/budapest,hirdetes@marcopolo.hu,"+3629900000, +36380000000, +36500000000, +3649000000, +3652900000, +3679900000, +3649900000, +36300000000, +36219000000, +3611500000",,,,esemény szervező,ddg_search,0.9
Budapest Hajóbérlés,https://budapesthajoberles.hu/kapcsolat,"hostess@budapestevent.hu, info@budapestevent.hu","+3619509960, +36302812566, +36309316397",,,,esemény szervező,ddg_search,0.9
"BudapestEvent Hostess Ügynökség, Hostess bérlés Budapest",https://budapesteventhostess.hu/kapcsolat,hostess@budapestevent.hu,"+3619509960, +36302812566, +36309316397",,,,esemény szervező,ddg_search,0.9
Hungary,http://www.1hungary.com/search/budapest_xxii_kerulet/business_travel/congress_organiser-p1,paintball@paintball.hu,"+36209462767, +3619892026",,,,esemény szervező,ddg_search,0.9
Cevent.hu | Kreatív rendezvényszervező ügynökség,https://cevent.hu/en,info@cevent.hu,"+36302989885, +36305358203, +36303538203",,,,esemény szervező,ddg_search,0.9
Expert Corporate Event Management Company in Budapest,https://pearllemonexperiences.com/event-management-company-budapest-hungary,"info@pearllemongroup.com, me@deepakshukla.com","+16502784421, +442071833436, +447454539583",,,,esemény szervező,ddg_search,0.9
Meetings & Events | InterContinental Budapest,https://www.budapest.intercontinental.com/en/events,"icbudapest.sales@ihg.com, budapest@ihg.com","+3613276366, +3680018893, +3680080321",,,,esemény szervező,ddg_search,0.9
CorinthiaBudapest| Royal HotelBudapest| Corinthia,https://www.corinthia.com/en-gb/budapest/contact-us,"budapest@corinthia.com, reservations.budapest@corinthia.com, concierge.budapest@corinthia.com, events.budapest@corinthia.com, royalspa@corinthia.com, fandbcoordinator.budapest@corinthia.com, jobs.budapest@corinthia.com","+3614794000, +3614794811, +3614794800, +3614794721, +3614794650, +3614794850, +3614794880",,,,esemény szervező,ddg_search,0.9
"Élményfutás 3,5 km",https://www.ligetelmenyfutas.hu/3-5-km,nevezes@futanet.hu,"+3619960921, +3619910921, +3619960920, +3619860921, +3619910920, +3619810921, +3619860920, +3619760921, +3619810920, +3619710921, +3619760920, +3619660921, +3619710920, +3619610921, +3619660920, +3619560921, +3619610920, +3619510921, +3619560920, +3619460921, +3619510920",,,,esemény szervező,ddg_search,0.9
"Öböl félmaraton (21,1 km)",https://www.balatonszupermaraton.hu/obol-felmaraton-211km,nevezes@futanet.hu,"+3619960228, +3619910228, +3619960227, +3619860228, +3619910227, +3619810228, +3619860227, +3619760228, +3619810227, +3619710228, +3619760227, +3619660228, +3619710227, +3619610228, +3619660227, +3619560228, +3619610227, +3619510228, +3619560227, +3619460228, +3619510227",,,,esemény szervező,ddg_search,0.9
