company_name,website,emails,phones,address,city,country,niche,sources,confidence
Flashback – Esküvő és Rendezvényhelyszín Budapesten,https://flashbackstudio.eu,"flashback@flashbackphoto.eu, kurtbistro@gmail.com, kurtbisztro@gmail.com, user@domain.com, pelda@pelda.com",+36706352301,"1 Bogdáni út
Budapest, , 1033
Hungary",Budapest,HU,konferencia,ddg_search,1.0
Melegh Attila,https://demografia.hu/hu/munkatarsak-melegh-attila,"melegh@demografia.hu, nki@demografia.hu, drab@demografia.hu","+36200483101, +3634143181, +3619022016, +36305107006, +3613451115",,,,konferencia,ddg_search,0.9
Novemberben újra AktívMagyarországKonferencia– elindult...,https://aktivmagyarorszag.hu/novemberben-ujra-aktiv-magyarorszag-konferencia-elindult-a-regisztracio,aktivmagyarorszag@ktm.gov.hu,+3617956701,,,,konferencia,ddg_search,0.9
"BudapestAirport Hotel Stáció Wellness &Konferencia, Vecsés",https://www.hotelscombined.com/Hotel/Budapest_Airport_Hotel_Stacio_Superior_Wellness_Konferencia.htm,sites@once.rated,+3629353053,,,,konferencia,ddg_search,0.9
TECHference Ipari Konferencia és Kiállítás,https://www.techference.hu,kapcsolat@techference.hu,+36706007838,,,,konferencia,ddg_search,0.9
Konferencia központ,https://www.aquaworldresort.hu/hu/konferencia_kozpont,"event@aquaworldresort.hu, reservation@aquaworldresort.hu","+3612313600, +3612313760, +3612313624",,,,konferencia,ddg_search,0.9
IndaEvents,https://indaevents.hu/c/imprint,"events@dnsaleshouse.hu, sales@indamedia.hu, info@rentit.hu, sales@dnsaleshouse.hu",+3614683073,,,,konferencia,ddg_search,0.9
Konferenciák | IMMKonferenciaszervező,https://immkonferencia.hu/konferenciak,info@immkonferencia.hu,+36306355022,,,,konferencia,ddg_search,0.9
Konferenciaszervezés Budapest szívében,https://symbolbudapest.hu/ceges-rendezvenyek/konferencia-szervezes,"info@symbolbudapest.hu, daniel.abonyi@marketingastro.com","+36307484050, +36304510265",,,,konferencia,ddg_search,0.9
Csapat,https://konferencia.hvg.hu/kapcsolat,konferencia@hvg.hu,+3614362442,,,,konferencia,ddg_search,0.9
konferenciaszervezo.hu,https://konferenciaszervezo.hu/kapcsolat,"info@konferenciaszervezo.hu, jelentkezes@konferenciaszervezo.hu",+36301952826,,,,konferencia,ddg_search,0.9
Convention Budapest Kft.,https://www.convention.hu/ContactUs,"convention@convention.hu, kbagdi@convention.hu, fmiklosi@convention.hu, zspapp@convention.hu, tbokker@convention.hu, zsszebeni@convention.hu, kvamos@convention.hu, gszakacs@convention.hu, blesti@convention.hu, amajor@convention.hu, kbrunner@convention.hu, kkortics@convention.hu, szlukacs@convention.hu, avajda@convention.hu, afulop@convention.hu","+36304908382, +36303107516, +36305766031, +36702126515, +36301824939, +36302723329, +36304884663, +36306393705, +36306499715, +36304351133, +3613232753",,,,konferencia,ddg_search,0.9
Begünstigte Produktpartner,https://www.inlernet.com/at-de/content/partner_details/HU0797PP02,recepcio@otevszak.hu,"+3614634103, +3614633936, +36705701935",,,,konferencia,ddg_search,0.9
Contact | HUPHAR2024,https://huphar.org/huphar2024/en/contact,farma@altagra.hu,+36204982266,,,,konferencia,ddg_search,0.9
SzigmaSzervíz Kft.,http://szigmaszerviz.hu/publikaciok,info@szigmaszerviz.hu,"+36304563424, +3633462015, +3628362004, +3615212001, +3619990415, +3623281998",,,,konferencia,ddg_search,0.9
