company_name,website,emails,phones,address,city,country,niche,sources,confidence
Webshop,https://shop.trimedio.hu,trimedio@trimedio.hu,+36205070999,"Baross utca 37/a, 1047, Budapest, HU",Budapest,HU,nemzetközi találkozó,list_page,1.0
parom.hu,https://www.parom.hu,info@parom.hu,+36202360829,"Jáspis u. 1., 1188, Budapest",Budapest,,nemzetközi találkozó,ddg_search,1.0
Bcomp,https://www.bcomp.hu,"molngyuri@gamil.com, molngyuri@gmail.com",+36209244501,,,,nemzetközi találkozó,list_page,0.9
Bulvár,https://sztarlimonade.hu,foszerkeszto@sztarlimonade.hu,+36205070999,,,,nemzetközi találkozó,list_page,0.9
user profile: NNS (comments) • Magyarfutball.hu,https://www.magyarfutball.hu/en/profil/1/hozzaszolasok/4,info@magyarfutball.hu,"+3619340617, +3619340623, +3619340626, +3625755813, +3680380718",,,,nemzetközi találkozó,ddg_search,0.9
Nemzetközi Találkozó Kisebbségi Magyar csoportok 2025,https://nemzetkozitalalkozo.com,"sz.albert.tiszasziget.muenchen@gmail.com, strasbourgsziget@gmail.com",+4915236768949,,,,nemzetközi találkozó,ddg_search,0.9
NEMZETKÖZITALÁLKOZÓ– IPMAU PROJEKT :: Magyar...,https://mke.hu/aktualis/index.php,info@mke.hu,+3616662500,,,,nemzetközi találkozó,ddg_search,0.9
News,http://www.geopark.hu/en/what-s-on/news,"info@geopark.hu, korbely@geopark.hu, ancsin@geopark.hu",+3687555287,,,,nemzetközi találkozó,ddg_search,0.9
mokusok – Page 6 – Pneuma Szöv.,https://pneumaszov.org/author/mokusok/page/6,pneumaszov@gmail.com,+3619302100,,,,nemzetközi találkozó,ddg_search,0.9
Nemzetköziifjúságitalálkozó,https://portal.kre.hu/index.php/243-nemzetkoezi-ifjusagi-talalkozo.html,rektori.hivatal@kre.hu,+3614559060,,,,nemzetközi találkozó,ddg_search,0.9
Lépjen kapcsolatba velünk,https://www.bcc.hu/hu/lepjen-kapcsolatba-veluenk,bcc@accor.com,"+3613725400, +3614665636",,,,nemzetközi találkozó,ddg_search,0.9
Nemzetközitalálkozó| iTrack GPS nyomkövetés,https://www.itrack.hu/nemzetkozi-talalkozo,info@idata.hu,"+3617767676, +3612813606",,,,nemzetközi találkozó,ddg_search,0.9
